Table_1_Participant_Profile
Language,Role,AoA,Current_Use,Proficiency
Azerbaijani,L1,Birth,Daily,Native
Persian,L2,Birth,Daily,Native
English,L3,12,Daily,Fluent/C2
Russian,L4,25,Occasional,B1
Spanish,L5,38,Learning,A2

Table_2_Instrument_Validation
Task,Items,Target_Construct,Validation_Method
Picture_Naming,50,Lexical_activation,High-frequency_nouns_reviewed_by_specialist
Translation,20,Structural_competition,Reviewed_by_specialist_for_equivalence
Narrative,6,Sustained_activation,Pilot_tested_for_coherence

Table_3_Source_Language_Distribution
Source_Language,Frequency,Percentage
Russian_L4,43,84.3%
English_L3,3,5.9%
Persian_L2,5,9.8%
Total,51,100%

Table_4_Task_Distribution
Task,Russian_L4,English_L3,Persian_L2,Total,L4_Contribution
Picture_Naming,12,3,1,16,75.0%
Translation,18,0,1,19,94.7%
Narrative,13,0,3,16,81.2%
Total,43,3,5,51,84.3%

Table_5_Domain_Distribution
Domain,Russian_L4,English_L3,Persian_L2,Total,Domain_Percentage
Lexical,31,3,3,37,72.5%
Morphosyntactic,8,0,1,9,17.6%
Phonological,4,0,1,5,9.8%
Total,43,3,5,51,100%

Table_6_Behavioral_Patterns
Feature,English_L3,Russian_L4,Persian_L2
Typical_Pause_Behaviour,Short_pauses,Longer_pauses,Variable_pauses
Self_Repair_Tendency,Usually_immediate,Frequently_delayed_or_absent,Variable
Observable_Monitoring,Prompt,Less_consistent,Variable

Table_7_Illustrative_Examples
Task,Target_Sp,Produced,Source,Error_Type,Repair,Observation
Picture,Dos,Dva,L4,Lexical,No,Russian_numeral_intrusion
Translation,La_casa,Russian_Case,L4,Morphosyn,No,Russian_case_marking_transfer
Narrative,Lunes,Ponedelnik,L4,Lexical,Yes_Slow,Delayed_self_repair_L4
Picture,Agua,Water,L3,Lexical,Yes_Rapid,Prompt_self_repair_L3
Narrative,Libro,Kniga,L4,Lexical,No,L4_interference_in_spontaneous_speech
